date:2025-01-05 13:54:49	thread:main	X-Track:	level:WARN 	logger:o.mybatis.spring.mapper.ClassPathMapperScanner  	message:No MyBatis mapper was found in '[com.example.domain.repository]' package. Please check your configuration.
date:2025-01-05 13:55:59	thread:http-nio-8080-exec-9	X-Track:c02f61b5060b41f2bf1d10b43049d318	level:TRACE	logger:o.t.gfw.web.logging.TraceLoggingInterceptor     	message:[HANDLING TIME   ] HelloController.home(Locale,Model)-> 737,052 ns
date:2025-01-05 13:57:25	thread:http-nio-8080-exec-3	X-Track:a568ee570f46436cb9b60693fd1de2e5	level:TRACE	logger:o.s.w.s.m.m.a.RequestMappingHandlerMapping      	message:Mapped to com.example.app.welcome.HelloController#home(Locale, Model)
date:2025-01-05 13:57:25	thread:http-nio-8080-exec-3	X-Track:a568ee570f46436cb9b60693fd1de2e5	level:TRACE	logger:o.t.gfw.web.logging.TraceLoggingInterceptor     	message:[START CONTROLLER] HelloController.home(Locale,Model)
date:2025-01-05 13:57:25	thread:http-nio-8080-exec-3	X-Track:a568ee570f46436cb9b60693fd1de2e5	level:INFO 	logger:com.example.app.welcome.HelloController         	message:Welcome home! The client locale is ja.
date:2025-01-05 13:57:25	thread:http-nio-8080-exec-3	X-Track:a568ee570f46436cb9b60693fd1de2e5	level:TRACE	logger:o.t.gfw.web.logging.TraceLoggingInterceptor     	message:[END CONTROLLER  ] HelloController.home(Locale,Model)-> view=welcome/home, model={serverTime=2025年1月5日 13:57:25 UTC}
date:2025-01-05 13:57:25	thread:http-nio-8080-exec-3	X-Track:a568ee570f46436cb9b60693fd1de2e5	level:TRACE	logger:o.t.gfw.web.logging.TraceLoggingInterceptor     	message:[HANDLING TIME   ] HelloController.home(Locale,Model)-> 718,887 ns
date:2025-01-05 14:09:15	thread:http-nio-8080-exec-7	X-Track:2d17dfe4f1d04d128ab339ff97b18782	level:TRACE	logger:o.s.w.s.m.m.a.RequestMappingHandlerMapping      	message:Mapped to com.example.app.welcome.HelloController#home(Locale, Model)
date:2025-01-05 14:09:15	thread:http-nio-8080-exec-7	X-Track:2d17dfe4f1d04d128ab339ff97b18782	level:TRACE	logger:o.t.gfw.web.logging.TraceLoggingInterceptor     	message:[START CONTROLLER] HelloController.home(Locale,Model)
date:2025-01-05 14:09:15	thread:http-nio-8080-exec-7	X-Track:2d17dfe4f1d04d128ab339ff97b18782	level:INFO 	logger:com.example.app.welcome.HelloController         	message:Welcome home! The client locale is ja.
date:2025-01-05 14:09:15	thread:http-nio-8080-exec-7	X-Track:2d17dfe4f1d04d128ab339ff97b18782	level:TRACE	logger:o.t.gfw.web.logging.TraceLoggingInterceptor     	message:[END CONTROLLER  ] HelloController.home(Locale,Model)-> view=welcome/home, model={serverTime=2025年1月5日 14:09:15 UTC}
date:2025-01-05 14:09:15	thread:http-nio-8080-exec-7	X-Track:2d17dfe4f1d04d128ab339ff97b18782	level:TRACE	logger:o.t.gfw.web.logging.TraceLoggingInterceptor     	message:[HANDLING TIME   ] HelloController.home(Locale,Model)-> 1,003,991 ns
